dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,Cooking,cooking,Other,6,4,2,10,0.1250,0.0000,-0.1250,"POJANGMACHA : Korean Street Food Management Simulator, AIKO: AI Girlfriend 3D Life Sim, Kinny and the Cosmic Cauldron"
tag,raw-tag,Cozy,cozy,Indie & Casual,22,10,12,32,0.6250,0.0000,-0.6250,"With Me: Aquatic Time, Rooftop Garden, Little Fires"
tag,raw-tag,Crafting,crafting,Other,11,17,-6,28,-0.5000,-0.2500,0.2500,"100FRIENDS, Divide TCG, Dodge-imals"
tag,raw-tag,Creature Collector,creature collector,Other,8,2,6,10,0.5000,-0.1250,-0.6250,"Nested Lands, UP TO THE SKY, Horse Runner DX"
tag,raw-tag,Crime,crime,Other,5,2,3,7,0.3750,0.1250,-0.2500,"The Posthumous Investigation, Veils of the Past, Hope in the City"
tag,raw-tag,Crowdfunded,crowdfunded,Other,1,1,0,2,0.0000,0.0000,0.0000,Crown Of Hispania
tag,raw-tag,CRPG,crpg,Other,1,4,-3,5,-0.2500,0.1250,0.3750,"Xenonauts 2, 纤维, Silent Orbits"
tag,raw-tag,Cult Classic,cult classic,Other,0,1,-1,1,-0.1250,0.0000,0.1250,Shakes and Fidget
tag,raw-tag,Cute,cute,Indie & Casual,35,33,2,68,-0.2500,-0.8750,-0.6250,"Pretty Girl Puzzle · Summer Phantom, With Me: Aquatic Time, Xenonauts 2"
tag,raw-tag,Cyberpunk,cyberpunk,Other,13,4,9,17,0.2500,0.0000,-0.2500,"Fall in Flowers - フォール イン フラワーズ, Game Settings, 驱入虚空"
tag,raw-tag,Cycling,cycling,Other,0,1,-1,1,0.0000,0.0000,0.0000,Beat For Speed
tag,raw-tag,Dark,dark,Atmosphere & Horror,27,24,3,51,0.3750,0.0000,-0.3750,"The Floor Above, Black Jacket, Brno Transit"
tag,raw-tag,Dark Comedy,dark comedy,Other,2,3,-1,5,0.1250,-0.2500,-0.3750,"Major Mutt, Come to my party!, Fine Dying"
tag,raw-tag,Dark Fantasy,dark fantasy,Other,14,15,-1,29,-0.3750,0.1250,0.5000,"Eternal Hunger, Xenonauts 2, Telluria: Forebodings"
tag,raw-tag,Dark Humor,dark humor,Other,10,10,0,20,0.2500,0.1250,-0.1250,"One More 6ix, Xenonauts 2, Blank Slate"
tag,raw-tag,Dating Sim,dating sim,Other,10,5,5,15,0.1250,0.1250,0.0000,"Pretty Girl Puzzle · Summer Phantom, Jokerina: Lust Card, Come to my party!"
tag,raw-tag,Deckbuilding,deckbuilding,Other,11,2,9,13,0.1250,0.2500,0.1250,"七神器, Divide TCG, Pop!chinko"
tag,raw-tag,Demons,demons,Other,6,12,-6,18,-0.3750,-0.1250,0.2500,"封魔剑魂, Indignum, Lands of Fury"
tag,raw-tag,Design & Illustration,design & illustration,Other,3,2,1,5,-0.1250,0.1250,0.2500,"Little Fires, Circuit Artist, Little Houses of Bloomwood"
tag,raw-tag,Destruction,destruction,Other,2,8,-6,10,0.0000,-0.1250,-0.1250,"Zigdig, Gobocore: Goblin Rescue Squad , Streets of Miami VR"
tag,raw-tag,Detective,detective,Other,2,2,0,4,0.1250,0.0000,-0.1250,"North Hunt, KunKunNest, Stardream"
tag,raw-tag,Dice,dice,Other,0,1,-1,1,0.0000,-0.1250,-0.1250,Fortune Avenue
tag,raw-tag,Difficult,difficult,Action & Combat,32,12,20,44,1.0000,0.3750,-0.6250,"Biped 2, Fallen Tear: The Ascension, Keep the Balance"
